Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
,"Anaheim Angels, seeLos Angeles Angels",,,,,,,,,,,,,,,,,,,,
1,Arizona Diamondbacks,1998,2023,"4,062","1,971","2,091",.485,-120,5,1,1,6,587,2,"18,409","138,669","35,313","4,294",.255,"18,796",4.27
2,Atlanta Braves,1876,2023,"22,004","10,992","10,858",.503,134,22,18,4,28,2103,54,"98,307","753,393","195,738","14,700",.260,"96,958",3.67
,"Also played as Milwaukee Braves, Boston Braves, Boston Bees, Boston Rustlers, Boston Doves, Boston Beaneaters and Boston Red Stockings",,,,,,,,,,,,,,,,,,,,
3,Baltimore Orioles,1901,2023,"19,103","8,998","9,995",.474,-997,9,7,3,14,1954,34,"82,388","648,860","167,526","14,092",.258,"87,909",4.05
,Also played as St. Louis Browns and Milwaukee Brewers,,,,,,,,,,,,,,,,,,,,
,"Boston Braves, seeAtlanta Braves",,,,,,,,,,,,,,,,,,,,
4,Boston Red Sox,1901,2023,"19,090","9,854","9,153",.518,701,10,14,9,25,1915,38,"89,170","653,304","174,462","14,294",.267,"85,563",3.92
,Also played as Boston Americans,,,,,,,,,,,,,,,,,,,,
,"Brooklyn Dodgers, seeLos Angeles Dodgers",,,,,,,,,,,,,,,,,,,,
,"California Angels, seeLos Angeles Angels",,,,,,,,,,,,,,,,,,,,
5,Chicago Cubs,1876,2023,"22,045","11,220","10,664",.513,556,8,17,3,21,2219,46,"101,454","754,504","197,737","14,955",.262,"98,025",3.69
,"Also played as Chicago Orphans, Chicago Colts and Chicago White Stockings",,,,,,,,,,,,,,,,,,,,
6,Chicago White Sox,1901,2023,"19,100","9,538","9,459",.502,79,6,6,3,11,1858,34,"83,244","646,936","168,273","12,071",.260,"82,930",3.79
7,Cincinnati Reds,1882,2023,"21,631","10,835","10,657",.504,178,10,10,5,16,2131,37,"97,077","737,244","192,289","14,035",.261,"96,335",3.77
,Also played as Cincinnati Redlegs and Cincinnati Red Stockings,,,,,,,,,,,,,,,,,,,,
8,Cleveland Guardians,1901,2023,"19,103","9,739","9,273",.512,466,11,6,2,16,1980,35,"86,420","651,342","172,630","13,642",.265,"84,239",3.83
,"Also played as Cleveland Indians, Cleveland Naps, Cleveland Bronchos and Cleveland Blues",,,,,,,,,,,,,,,,,,,,
9,Colorado Rockies,1993,2023,"4,809","2,246","2,563",.467,-317,0,1,0,5,649,1,"23,995","165,344","44,947","5,456",.272,"25,425",4.99
10,Detroit Tigers,1901,2023,"19,125","9,562","9,470",.502,92,7,11,4,16,1779,24,"87,862","652,332","172,556","14,297",.265,"87,702",4.00
11,Houston Astros,1962,2023,"9,770","4,896","4,869",.501,27,12,5,2,16,974,10,"41,544","331,449","84,417","8,116",.255,"40,992",3.80
,Also played as Houston Colt .45s,,,,,,,,,,,,,,,,,,,,
,"Kansas City Athletics, seeOakland Athletics",,,,,,,,,,,,,,,,,,,,
12,Kansas City Royals,1969,2023,"8,624","4,103","4,519",.476,-416,8,4,2,9,979,4,"37,713","295,172","77,634","6,747",.263,"39,938",4.27
13,Los Angeles Angels,1961,2023,"9,930","4,942","4,985",.498,-43,9,1,1,10,1200,12,"43,073","337,111","86,500","8,926",.257,"43,471",3.99
,"Also played as Los Angeles Angels of Anaheim, Anaheim Angels and California Angels",,,,,,,,,,,,,,,,,,,,
14,Los Angeles Dodgers,1884,2023,"21,427","11,300","9,988",.531,1312,20,25,7,36,1939,52,"96,543","730,087","190,750","13,754",.261,"90,603",3.53
,"Also played as Brooklyn Dodgers, Brooklyn Robins, Brooklyn Superbas, Brooklyn Bridegrooms, Brooklyn Grooms, Brooklyn Grays and Brooklyn Atlantics",,,,,,,,,,,,,,,,,,,,
15,Miami Marlins,1993,2023,"4,803","2,216","2,587",.461,-371,0,2,2,3,715,5,"20,254","163,252","41,668","4,354",.255,"22,191",4.28
,Also played as Florida Marlins,,,,,,,,,,,,,,,,,,,,
,"Milwaukee Braves, seeAtlanta Braves",,,,,,,,,,,,,,,,,,,,
16,Milwaukee Brewers,1969,2023,"8,633","4,184","4,445",.485,-261,5,1,0,8,1016,7,"38,289","293,114","75,133","8,444",.256,"39,321",4.16
,Also played as Seattle Pilots,,,,,,,,,,,,,,,,,,,,
,"Milwaukee Brewers (1901), seeBaltimore Orioles",,,,,,,,,,,,,,,,,,,,
17,Minnesota Twins,1901,2023,"19,114","9,150","9,855",.481,-705,12,6,3,17,1800,28,"83,971","652,124","171,140","11,710",.262,"87,303",3.99
,Also played as Washington Senators,,,,,,,,,,,,,,,,,,,,
,"Montreal Expos, seeWashington Nationals",,,,,,,,,,,,,,,,,,,,
,"New York Giants, seeSan Francisco Giants",,,,,,,,,,,,,,,,,,,,
18,New York Mets,1962,2023,"9,761","4,703","5,050",.482,-347,6,5,2,10,1213,16,"40,134","330,263","82,562","8,245",.250,"41,049",3.80
19,New York Yankees,1903,2023,"18,804","10,661","8,055",.570,2606,20,40,27,58,1773,47,"91,365","641,041","170,365","16,943",.266,"78,432",3.65
,Also played as New York Highlanders,,,,,,,,,,,,,,,,,,,,
20,Oakland Athletics,1901,2023,"19,065","9,242","9,736",.487,-494,17,15,9,29,2077,41,"84,278","646,315","166,549","13,824",.258,"87,107",3.99
,Also played as Kansas City Athletics and Philadelphia Athletics,,,,,,,,,,,,,,,,,,,,
,"Philadelphia Athletics, seeOakland Athletics",,,,,,,,,,,,,,,,,,,,
21,Philadelphia Phillies,1883,2023,"21,438","10,084","11,239",.473,-1155,12,8,2,15,2175,37,"95,059","733,575","191,048","13,852",.260,"100,977",3.99
,Also played as Philadelphia Quakers,,,,,,,,,,,,,,,,,,,,
22,Pittsburgh Pirates,1882,2023,"21,587","10,738","10,709",.501,29,9,9,5,17,2117,40,"96,133","739,568","194,907","12,013",.264,"96,240",3.75
,Also played as Pittsburgh Alleghenys,,,,,,,,,,,,,,,,,,,,
23,San Diego Padres,1969,2023,"8,636","4,007","4,627",.464,-620,5,2,0,7,1129,13,"34,859","291,937","72,708","6,971",.249,"37,864",3.97
24,San Francisco Giants,1883,2023,"21,513","11,444","9,906",.536,1538,9,23,8,27,1916,57,"99,595","734,408","193,411","15,314",.263,"92,075",3.58
,Also played as New York Giants and New York Gothams,,,,,,,,,,,,,,,,,,,,
25,Seattle Mariners,1977,2023,"7,340","3,487","3,851",.475,-364,3,0,0,5,981,6,"32,597","250,554","64,584","7,407",.258,"34,375",4.31
,"Seattle Pilots, seeMilwaukee Brewers",,,,,,,,,,,,,,,,,,,,
,"St. Louis Browns, seeBaltimore Orioles",,,,,,,,,,,,,,,,,,,,
26,St. Louis Cardinals,1882,2023,"21,629","11,180","10,297",.521,883,15,23,11,32,2197,50,"99,251","741,518","197,138","12,903",.266,"95,183",3.68
,"Also played as St. Louis Perfectos, St. Louis Browns and St. Louis Brown Stockings",,,,,,,,,,,,,,,,,,,,
27,Tampa Bay Rays,1998,2023,"4,061","1,981","2,080",.488,-99,4,2,0,8,588,2,"18,119","138,157","35,173","4,242",.255,"18,580",4.24
,Also played as Tampa Bay Devil Rays,,,,,,,,,,,,,,,,,,,,
28,Texas Rangers,1961,2023,"9,916","4,718","5,192",.476,-474,7,2,0,8,1235,9,"44,705","338,654","87,535","9,900",.258,"46,720",4.29
,Also played as Washington Senators,,,,,,,,,,,,,,,,,,,,
29,Toronto Blue Jays,1977,2023,"7,343","3,662","3,678",.499,-16,6,2,2,9,909,10,"34,041","251,759","65,616","8,006",.261,"33,601",4.22
